Year,FFD,GHD,Jpn_temp_anom,Jpn_temp,Fr_temp_anom,Fr_temp
1589,105,25.0,,,,
1590,102,13.0,,,,
1591,94,32.0,,,,
1592,98,32.0,,,,
1593,113,32.0,,,,
1594,93,30.0,,,,
1595,111,25.0,,,,
1596,104,33.0,,,,
1597,114,43.0,,,,
1598,110,23.0,,,,
1599,103,11.0,,,,
1600,101,43.0,,,,
1601,93,38.0,,,,
1602,107,23.0,,,,
1603,99,13.0,,,,
1604,95,20.0,,,,
1605,105,20.0,,,,
1606,106,36.0,,,,
1607,110,24.0,,,,
1608,,31.0,,,,
1609,108,28.0,,,,
1610,110,20.0,,,,
1611,,14.0,,,,
1612,87,31.0,,,,
1613,106,25.0,,,,
1614,103,36.0,,,,
1615,110,22.0,,,,
1616,122,12.0,,,,
1617,107,33.0,,,,
1618,102,36.0,,,,
1619,93,26.0,,,,
1620,,28.0,,,,
1621,109,46.0,,,,
1622,106,24.0,,,,
1623,113,15.0,,,,
1624,112,14.0,,,,
1625,95,33.0,,,,
1626,100,27.0,,,,
1627,,44.0,,,,
1628,104,44.2,,,,
1629,112,27.0,,,,
1630,,20.0,,,,
1631,,20.0,,,,
1632,104,34.0,,,,
1633,98,37.0,,,,
1634,96,33.0,,,,
1635,97,25.0,,,,
1636,,4.0,,,,
1637,105,3.0,,,,
1638,105,10.0,,,,
1639,108,20.0,,,,
1640,103,31.0,,,,
1641,117,33.0,,,,
1642,114,33.0,,,,
1643,114,31.0,,,,
1644,105,15.0,,,,
1645,99,11.0,,,,
1646,87,17.0,,,,
1647,112,18.0,,,,
1648,,31.0,,,,
1649,104,38.0,,,,
1650,102,,,,,
1651,107,22.0,,,,
1652,107,20.0,,,,
1653,112,11.0,,,,
1654,104,32.0,,,,
1655,104,23.0,,,,
1656,103,26.0,,,,
1657,,22.0,,,,
1658,108,29.0,,,,
1659,,10.0,,,,
1660,111,8.0,,,,
1661,,12.0,,,,
1662,110,22.0,,,,
1663,105,38.0,,,,
1664,105,19.0,,,,
1665,112,15.0,,,,
1666,108,10.0,,,,
1667,,28.0,,,,
1668,110,19.0,,,,
1669,,13.0,,,,
1670,102,22.0,,,,
1671,116,16.0,,,,
1672,112,28.0,,,,
1673,,35.0,,,,
1674,115,20.0,,,,
1675,111,44.0,,,,
1676,103,10.0,,,,
1677,105,27.0,,,,
1678,109,20.0,,,,
1679,110,26.0,,,,
1680,109,10.0,,,,
1681,110,9.0,,,,
1682,104,28.0,,,,
1683,104,13.0,,,,
1684,118,4.0,,,,
1685,106,12.0,,,,
1686,104,4.0,,,,
1687,104,29.0,,,,
1688,114,27.0,,,,
1689,97,29.4,,,,
1690,93,13.9,,,,
1691,103,24.4,,,,
1692,109,35.4,,,,
1693,107,29.4,,,,
1694,109,26.4,,,,
1695,120,22.4,,,,
1696,114,16.9,,,,
1697,111,26.4,,,,
1698,101,38.9,,,,
1699,97,17.4,,,,
1700,116,31.6,,,,
1701,112,25.6,,,,
1702,116,19.6,,,,
1703,103,25.6,,,,
1704,113,15.0,,,,
1705,109,28.6,,,,
1706,115,7.0,,,,
1707,111,22.6,,,,
1708,103,24.6,,,,
1709,106,31.6,,,,
1710,,20.6,,,,
1711,,26.6,,,,
1712,,28.1,,,,
1713,104,34.5,,,,
1714,108,29.6,,,,
